tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Romagnani, Gian Paolo;;L'istruzione universitaria in Piemonte dal 1799 al 1814 ;;;All'ombra dell'aquila imperiale: trasformazioni e continuità istituzionali nei territori sabaudi in età napoleonica, 1802-1814. Atti del convegno, Torino, 15-18 ottobre 1990;Roma;Ministero per i Beni culturali e ambientali;1994;2;;;;536-569
articolo in volume miscellaneo;Stalla, Robert;;"Der römische Palazzo della Sapienza als ""Gymnasion"": ein Hauptwerk Pirro Ligorios, Planung und Zuschreibungsfrage";Millon, Henry A. - Scott Munshower, Susan;a cura di;An architectural progress in the Renaissance and Baroque : sojourns in and out of Italy. Essays in architectural history presented to Hellmut Hager on his 66th birthday;University Park;Pennsylvania State University;1992;2;;;;112-145
articolo in volume miscellaneo;Nardi, Paolo;;Note sui rapporti tra “Studia” e pubblici poteri nei secoli XII-XIII ;Alzati, Cesare;a cura di;Cristianità ed Europa. Miscellanea di studi in onore di Luigi Prosdocimi ;Roma - Freiburg - Wien;Herder;1994;2;;;;609-633
articolo in volume miscellaneo;De Benedictis, Angela;;Da consuetudo a lex. L’irrevocabilità di un privilegio cittadino. Bologna e lo Stato della Chiesa nei secoli XVI-XVIII;Dölemeyer, Barbara - Mohnhaupt, Heinz  ;a cura di;Das Privileg im europaischen Vergleich;Frankfurt am Main;Klostermann;1997;2;;;;207-232
poligrafia;;;;;;Docenti, studenti e laureati della Facoltà di medicina e chirurgia dell'Università di Sassari;Sassari;TAS;1997;2;;;;342 e 687
articolo in volume miscellaneo;Recami, Erasmo;;I manoscritti scientifici lasciati da E. Majorana;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale (Desenzano del Garda, 4-8 giugno 1991);Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;1237-1244
articolo in volume miscellaneo;Tagliaferri, Guido;;Il riordinamento e l’utilizzazione dell’Archivio storico  dell’Osservatorio di Brera;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale (Desenzano del Garda, 4-8 giugno 1991);Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;247-257
articolo in volume miscellaneo;Cau, Paolo;;Didattica e sperimentazione nell’Arsenale di Torino: il manoscritto del corso degli esperimenti di chimica metallurgica e docimastica (1752-59) conservato nella Biblioteca universitaria di Sassari;;;Gli archivi per la storia della scienza e della tecnica. Atti del convegno internazionale, Desenzano del Garda, 4-8 giugno 1991;Roma;Ministero per i beni culturali e ambientali, Ufficio centrale per i beni archivistici;1995;2;;;;873-894
articolo in volume miscellaneo;Luzzati, Michele;;Dottorati in medicina conferiti a Firenze nel 1472 da Judah Messer Leon da Montecchio a Bonaventura da Terracino e ad Abramo da Montalcino;;;Medicina e salute nelle Marche dal Rinascimento all'età napoleonica. Atti del Convegno, Ancona-Recanati, 28-30 maggio 1992;Ancona;Deputazione di storia patria per le Marche;1992 (1994);2;«Atti e Memorie della Deputazione di storia patria per le Marche»;97;;41-53
articolo in volume miscellaneo;Brambilla, Elena;;Dagli antidoti contro la peste alle Farmacopee per i poveri: farmacia, alchimia e chimica a Milano, 1600-1800;Betri, Maria Luisa-Bigazzi, Duccio;a cura di;Studi in onore di Franco della Peruta;Milano;FrancoAngeli;1996;2;;;;303-352
articolo in volume miscellaneo;Olivieri, Achille;;Il presente e la didattica della storia;Xodo, Carla;a cura di;Apprendere all'Università. Atti del Convegno (23-24-25 ottobre 1996);Padova;Cleup;1997;3;;;;159-176
articolo in volume miscellaneo;Nicolosi Grassi, Giuseppina ;;"Il ""Liber privilegiorum"" del capitolo e lo ""Studium"" di Catania";Zito, Gaetano ;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;123-135
articolo in volume miscellaneo;Boaga, Emanuele;;Presenza di religiosi siciliani nelle Università medievali fuori Sicilia: il caso dei carmelitani;Zito, Gaetano;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;137-175
articolo in volume miscellaneo;Pace Gravina, Giacomo;;Giuristi e apparati di Curia a Catania nel Quattrocento;Zito, Gaetano;a cura di;Chiesa e società in Sicilia, vol. II: I secoli XII-XVI. Atti del 2° convegno internazionale organizzato dall'Arcidiocesi di Catania, 25-27 novembre 1993;Torino;SEI;1995;3;;;;67-89
articolo in volume miscellaneo;Sottili, Agostino;;"""Sunt nobis Papie omina iucunda"": il carteggio tra Konrad Nutzel ed Anton Kress, prevosto di San Lorenzo a Norimberga ";Fera, Vincenzo - Ferraù, Giacomo;a cura di;Filologia umanistica. Per Gianvito Resta;Padova;Antenore;1997;3;;;;1729-1765
articolo in volume miscellaneo;Cesarini Martinelli, Lucia;;Poliziano professore allo Studio fiorentino;;;La Toscana al tempo di Lorenzo il Magnifico. Politica, economia, cultura, arte. Atti del Convegno (Firenze, Pisa, Siena, 5-8 novembre 1992);Ospedaletto (Pisa);Pacini;1996;3;;;;463-482
articolo in volume miscellaneo;Fatica, Michele;;Gli alunni del Collegium Sinicum di Napoli, la missione Macartney presso l’imperatore Qianlong e la richiesta di libertà di culto per i cristiani cinesi (1792-1793);Carletti, Sandra M. - Sacchetti, Maurizia - Santangelo, Paolo;a cura di;Studi in onore di Lionello Lanciotti;Napoli;Istituto Universitario orientale;1996;3;;;;525-565
articolo in volume miscellaneo;Di Noto Marella, Sergio;;La nobilitazione del professore dopo vent'anni d'insegnamento: applicazione di C.12.15 in età moderna;;;Nozione, formazione e interpretazione del diritto dall'età romana alle esperienze moderne. Ricerche dedicate al professor Filippo Gallo;Napoli;Jovene;1997;4;;;;75-96
articolo in volume miscellaneo;Frova, Carla;;Scuole e Università;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 2. La circolazione del testo;Roma;Salerno;1994;5;;;;331-360
articolo in volume miscellaneo;Sergi, Giuseppe;;Le corti e il mecenatismo;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 2. La circolazione del testo;Roma;Salerno;1994;5;;;;299-329
articolo in volume miscellaneo;Garfagnini, Gian Carlo;;La scienza;Cavallo, Guglielmo-Leonardi, Claudio-Menestò, Enrico;a cura di;Lo spazio letterario del medioevo, vol. I. Il Medioevo latino, tomo 1. La produzione del testo;Roma;Salerno;1993;5;;;;601-634
articolo in volume miscellaneo;Farinella, Calogero;;Dal Collegio gesuitico all’Università;Borzani, Luca - Pistarino, Geo - Ragazzi, Franco;a cura di ;Storia illustrata di Genova;Milano;Sellino;1994;6;;;;833-848
monografia;;;;Guzmán Brito, Alejandro;;Derecho privado Romano;Santiago;Editorial Juridica de Chile;1996;2;;;;802 e 790
monografia;;;;Di Noto Marrella, Sergio;;Doctores. Contributo alla storia degli intelletuali nella dottrina del diritto comune;Padova;Cedam;1994;2;;;;315 e 477
monografia;;;;Barsanti, Danilo;;Lauree dell'Università di Pisa, 1737-1861, vol. I;Pisa;Università degli Studi di Pisa;1995;2;;;;687
monografia;;;;Barsanti, Danilo;;Lauree dell'Università di Pisa, 1737-1861, vol. II. Indici, tabelle, grafici;Pisa;Università degli Studi di Pisa;1997;2;;;;650
monografia;;;;Romano, Andrea;a cura di;Le prolusioni accademiche dell'Università degli Studi di Messina, 1838-1933;Messina;Presso l'Ateneo;1997;2;;;;1325, 524
poligrafia;;;;Commissione rettorale per la storia dell'Università di Pisa;a cura di;Storia dell'Università di Pisa, vol. I. 1343-1737;Ospedaletto (Pisa);Pacini;1993;2;;;;741
poligrafia;;;;Xodo, Carla;a cura di;Apprendere all'Università. Atti del Convegno (23-24-25 ottobre 1996);Padova;Cleup;1997;3;;;;189, 300 e 245
articolo in volume miscellaneo;De Marini Avonzo, Franca;;I libri di diritto a Costantinopoli nell’età di Teodosio II;García y García, Antonio - Weimar, Peter;a cura di;Miscellanea Domenico Maffei dicata. Historia, ius, studium;Goldbach;Keip;1995;4;;;;51-61
poligrafia;;;;García y García, Antonio - Weimar, Peter;curantibus;Miscellanea Domenico Maffei dicata. Historia, ius, studium;Goldbach;Keip;1995;4;;;;706, 724, 710, 720
monografia;;;;Vendittelli, Marco;;"""Domini"" e ""universitas castri"" a Sermoneta nei secoli XIII e XIV. Gli statuti castellani del 1271 con le aggiunte e le riforme del 1304 e del secolo XV";Roma;"""L'Erma"" di Bretschneider";1993;;;;;108
articolo in volume miscellaneo;Romano, Andrea;;Studenti e professori siciliani di diritto a Ferrara tra Medioevo ed età moderna;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;107-136
articolo in volume miscellaneo;Benzoni, Gino;;Le accademie in una città universitaria: il caso ferrarese;Castelli, Patrizia ;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;233-270
articolo in volume miscellaneo;Lupano, Alberto;;L’insegnamento ed il soggiorno ferrarese del giurista Aimone Cravetta;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;505-524
articolo in volume miscellaneo;Verde, Armando;;Studenti e professori fra l'Università di Ferrara e l'Universitò di Firenze: fine del Quattrocento - inizio del Cinquecento;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;75-105
articolo in volume miscellaneo;Gardi, Andrea;;L’Università di Ferrara come terreno di scontro politico-sociale all’epoca di Benedetto XIV;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;309-338
articolo in volume miscellaneo;Savioli, Giacomo;;Fonti documentarie per la storia dell'Università nell'Archivio Storico del Comune di Ferrara;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;573-611
articolo in volume miscellaneo;Fioravanti, Gianfranco;;"Bernardo da Montalcino ed il ""Commento ai trionfi"" dedicato a Borso d' Este";Castelli, Patrizia ;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;145-154
poligrafia;;;;Castelli, Patrizia;a cura di;"""In supreme dignitatis …"". Per la storia dell'Università di Ferrara, 1391-1991";Firenze;Olschki;1995;;;;;615
monografia;;;;Pedani Fabris, Maria Pia;;"""Veneta auctoritate notarius"". Storia del notariato veneziano (1514-1797)";Milano;Giuffrè;1996;;;;;221
poligrafia;;;;Guidoni, Enrico - Regni Sennato, Marina;a cura di;1935-1985. 'La Sapienza' nella città universitaria. Università degli Studi di Roma 'La Sapienza', Palazzo del Rettorato, 28 giugno - 15 novembre 1985;Roma;Multigrafica;1997;;;;;201
monografia;;;;Castro, Silvio;;30 anni di portoghese a Padova. Contributo alla storia dell'Università di Padova;Padova;Edistampa;1993;;;;;158
articolo in volume miscellaneo;Moretti, Mauro;;"Una cattedra per chiara fama. Alcuni documenti sulla ""carriera"" di Adolfo Venturi e sull’insegnamento universitario della storia dell’arte in Italia (1889-1901)";Agosti, Giacomo;a cura di;Archivio di Adolfo Venturi, vol. IV. Incontri venturiani (22 gennaio, 11 giugno 1991);Pisa;Scuola normale superiore;1995;;;;;41-99
poligrafia;;;;Ciancio, Luca;edited by;A Calendar of the Correspondence of John Strange, F.R.S. (1732-1799);London;The Wellcome Institute for the History of Medicine;1995;;;;;151
poligrafia;;;;De Ridder-Symoens, Hilde;edited by;A History of the University in Europe, vol. I. Universities in the Middle Ages;Cambridge;Cambridge University Press;1992;;;;;506
poligrafia;;;;De Ridder-Symoens, Hilde;eds.;A History of the University in Europe, vol. II. Universities in Early Modern Europe (1500-1800);Cambridge;Cambridge University Press;1996;;;;;693
poligrafia;;;;Rüegg, Walter;edited by;A History of the University in Europe, vol. III. Universities in the nineteenth and early twentieth centuries (1800-1945);Cambridge;Cambridge University Press;2004;;;;;746
poligrafia;;;;Rüegg, Walter;edited by;A History of the University in Europe, vol. IV. Universities since 1945;Cambridge;Cambridge University Press;2011;;;;;635
poligrafia;;;;De Vivo, Francesco - Zamperlini, Patrizia;a cura di;A scuola nell’Italia di ieri. Ricordi di vita scolastica tra ’800 e ’900;Padova;Cluep;1995;;;;;131
articolo in volume miscellaneo;D'Orsi, Angelo;;Professori in salotto. Dimore borghesi e scambi intellettuali nella Torino a cavallo dei due secoli;De Benedetti, Claudia;a cura di;Accademie, salotti, circoli nell'arco alpino occidentale. Il loro contributo alla formazione di una nuova cultura tra Ottocento e Novecento;Torino;Centro Studi Piemontesi;1995;;;;;123-143
monografia;;;;Rossetti, Lucia - Gamba, Antonio;a cura di;Acta nationis Germanicae artistarum (1637-1662);Padova;Antenore;1995;;;;;571
monografia;;;;Marangon, Paolo;;Ad cognitionem scientiae festinare. Gli studi nell'Università e nei conventi di Padova nei secoli XIII e XIV;Trieste;Lint;1997;;;;;531
monografia;;;;Gigli Berzolari, Alberto;;Alessandro Volta e la cultura scientifica e tecnologica tra ‘700 e ‘800 ;Milano;Cisalpino;1993;;;;;508
articolo in volume miscellaneo;Gozza, Paolo;;Rivoluzione astronomica, polifonia moderna;Vinti, Carlo;a cura di;Alexandre Koyré. L’avventura intellettuale ;Napoli;ESI;1994;;;;;481-485
poligrafia;;;;Luongo, Dario;a cura di;All'alba dell'illuminismo. Cultura e pubblico studio nella Napoli austriaca;Napoli;Consorzio editoriale Fridericiana: Guida;1997;;;;;190
articolo in volume miscellaneo;Pellegrino, Bruno;;I collegi gesuitici e la strategia della Compagnia nel Regno di Napoli tra '500 e '600;Iappelli, Filippo - Parente, Ulderico;a cura di;Alle origini dell’Università dell’Aquila. Cultura, università, collegi gesuitici all’inizio dell’età moderna in Italia meridionale;Roma;Institutum Historicum S.I.;2000;;;;;107-126
poligrafia;;;;Vecchiato, Francesco;a cura di;Alle origini dell’Università di Verona (1949-1959). Nel 50° anniversario della Libera Università di Verona (1959-2009);Vago di Lavagno;La Grafica;2010;;;;;814
monografia;;;;Maffei, Domenico - Maffei, Paola;;Angelo Gambiglioni, giureconsulto aretino del Quattrocento. La vita, i libri, le opere;Roma;Fondazione Sergio Mochi Onory per la Storia del Diritto Italiano;1994;;;;;238
poligrafia;;;;Musci, Leonardo - Grispigni, Marco;a cura di;Archivio delle associazioni e rappresentanze studentesche universitarie, 1945-1968. Inventario del fondo;Manduria;Lacaita;1995;;;;;184
articolo in volume miscellaneo;Quagliarello, Gaetano;;La formazione della classe politica repubblicana. Fonti e percorsi di ricerca;Musci, Leonardo-Grispigni, Marco;a cura di;Archivio delle associazioni e rappresentanze universitarie (1945-1968);Manduria;Lacaita;1995;;;;;5-20
articolo in volume miscellaneo;Moretti, Mauro;;Gabelli e Villari. Scuola e vita civile nell’Italia unita;Bonetta, Gaetano;a cura di;Aristide Gabelli e il metodo critico in educazione;L'Aquila - Roma;Japadre;1994;;;;;123-158
articolo in volume miscellaneo;Poppi, Antonino;;La difficile integrazione dell’aristotelismo padovano nella teologia tridentina: Iacopo Zabarella e Antonio Possevino ;Domínguez Reboiras, Fernando - Imbach, Ruedi - Pindl-Büchel, Theodor - Walter, Peter;a cura di;Aristotelica et Lulliana magistro doctissimo Charles H. Lohr septuagesimum annum feliciter agenti dedicata;Turnhout;Brepols;1995;;;;;245-258
monografia;;;;Franceschini, Adriano ;;Artisti a Ferrara in età umanistica e rinascimentale, vol. II. 2. Dal 1493 al 1516;Ferrara - Roma;Corbo;1997;;;;;881
articolo in volume miscellaneo;Vannozzi, Francesca;;La scuola di Farmacia in Siena: i suoi docenti, studenti e insegnamenti;;;Atti congresso nazionale dell’Accademia italiana di storia della farmacia (Siena, 9-11 novembre 1990);Conselve;Tipografia Regione Veneta;1993;;;;;11-21
articolo in volume miscellaneo;Barbieri, Francesco - Fiori, Carla;;Paolo Ruffini all’Università di Modena;;;Atti del convegno di studi in memoria di Giuseppe Gemignani (Modena, 20 maggio 1994);Modena;Mucchi;1995;;;;;93-119
articolo in volume miscellaneo;Coppini, Romano Paolo;;Gaetano Giorgini e la riforma universitaria del 1840;;;L'Ordine di Santo Stefano e lo Studio di Pisa. Atti del convegno, Pisa, 14-15 maggio 1993;Pisa;ETS;1993;;;;;113-122
articolo in volume miscellaneo;Del Gratta, Rodolfo;;Problemi giurisdizionali e di precedenze sorti fra l’Ordine di Santo Stefano e lo Studio di Pisa;;;L'Ordine di Santo Stefano e lo Studio di Pisa. Atti del convegno, Pisa, 14-15 maggio 1993;Pisa;ETS;1993;;;;;91-100
articolo in volume miscellaneo;Marrara, Danilo;;I rapporti istituzionali tra lo Studio di Pisa e l’Ordine di Santo Stefano;;;L'Ordine di Santo Stefano e lo Studio di Pisa. Atti del convegno, Pisa, 14-15 maggio 1993;Pisa;ETS;1993;;;;;33-41
articolo in rivista;Premuda, Loris;;L’ostetricia e la ginecologia nella storia dell’Università di Padova;;;;;;1993;;«Atti della Società italiana di ginecologia e ostetricia»;69;;9-16
articolo in rivista;Gigli Berzolari, Alberto;;"""In somma è la differenza de’ metalli che fa"", Alessandro Volta, maggio 1792";;;;;;1993;;«Il Nuovo Saggiatore»;9;1;42-51
articolo in volume miscellaneo;Gibin, Cinzio;;Natura e conoscenza: l’impresa scientifica nel Veneto del Settecento ;Lazzari, Corrado - Bizzarini, Fabrizio;a cura di;Giovanni Arduino e i geologi veneti del Settecento;Venezia;Società Veneziana di Scienze Naturali - Museo Civico di Storia Naturale;1996;;;;;11-26
articolo in volume miscellaneo;Petti Balbi, Giovanna ;;La ville et l’enseignement;;;Atti del seminario internazionale L’elaborazione del sapere tra IX e XIV secolo: esperienze nel mondo arabo e nell’area italiana (Palermo, 2-4 dicembre 1992);Roma;Istituto Poligrafico e Zecca dello Stato;1994;;;;;37-46
articolo in volume miscellaneo;Frova, Carla;;Populations étudiantes dans l’Occident médiéval;;;Atti del seminario L’elaborazione del sapere tra IX e XIV secolo: esperienze nel mondo arabo e nell’area italiana (Palermo, 2-4 dicembre 1992);Roma;Istituto Poligrafico e Zecca dello Stato;1994;;;;;97-104
poligrafia;;;;;;Atti del seminario sulla strumentazione storico-scientifica in Liguria;Recco;Microart's;1995;;;;;58
articolo in rivista;Seligardi, Raffaella;;Il laboratorio di Giacomo Ciamician all’Università di Bologna (1889-1921);Marino, Gianlorenzo;a cura di;Storia e fondamenti della chimica. Atti del V convegno nazionale, Perugia, 27-30 ottobre 1993;;;1994;;«Rendiconti dell'Accademia nazionale delle scienze detta dei XL. Memorie di scienze fisiche e naturali»;111;;417-432
articolo in rivista;Cau, Paolo;;Mezzo secolo di chimica nell’ateneo sassarese (1826-1877): gli spazi, gli strumenti, gli uomini del laboratorio;Amat di San Filippo, Paolo;a cura di;Storia e fondamenti della chimica. Atti del VI convegno nazionale, Cagliari, 4-7 ottobre 1995;;;1996;;«Rendiconti dell'Accademia nazionale delle scienze detta dei XL. Memorie di scienze fisiche e naturali»;113;;361-373
articolo in volume miscellaneo;Fregonese, Lucio;;Gli influssi di Boscovich e della chimica delle affinità nelle prime fasi dell’elettrologia di Volta;Bevilacqua, Fabio;a cura di;Atti del XII congresso nazionale di storia della fisica;Pavia;La Goliardica Pavese;1994;;;;;91-106
articolo in volume miscellaneo;Fregonese, Lucio;;The uses of reworking historical experiments: the case of Coulomb’s torsion balance and electrical theory ;Rossi, Arcangelo;a cura di;Atti del XIII congresso nazionale di storia della fisica;Lecce;Conte;1995;;;;;93-120
articolo in volume miscellaneo;Fregonese, Lucio;;Il programma elettrico di Volta: alcune considerazioni sulla storiografia vigente;Tucci, Pasquale;a cura di;Atti del XVI congresso nazionale di storia della fisica e dell'astronomia;Como;Tipografia Cesare Nani;1997;;;;;35-63
articolo in rivista;Gamba, Antonio - Ongaro, Giuseppe;;Esperimenti di Johann Georg Wirsung sulla circolazione del sangue;;;;;;1991-1992;;«Atti e Memorie dell’Accademia Patavina di Scienze, Lettere ed Arti, già Accademia dei Ricovrati, Parte II. Memorie della Classe di scienze matematiche e naturali»;104;;53-80
articolo in volume miscellaneo;Bevilacqua, Fabio;;Il progetto di informatizzazione del Museo per la storia dell'Università di Pavia;Calligaro, Alberto;a cura di;Attualità in storia della medicina e storia della fisica;Pavia;La Goliardica Pavese;1996;;;;;31-42
monografia;;;;Ciancio, Luca;;Autopsie della Terra. Illuminismo e geologia in Alberto Fortis (1741-1803);Firenze;Olschki;1995;;;;;385
articolo in volume miscellaneo;Blanco, Luigi;;"Gli ""ingénieurs des ponts et chaussées"": un corpo professionale nella Francia moderna (XVIII secolo)";Betri, Maria Luisa - Pastore, Alessandro ;a cura di;Avvocati, medici, ingegneri. Alle origini delle professioni moderne (secoli XVI-XIX);Bologna;Clueb;1997;;;;;241-253
articolo in volume miscellaneo;Brambilla, Elena;;Giuristi, teologi e giustizia ecclesiastica dal ‘500 al ‘700 ;Betri, Maria Luisa - Pastore, Alessandro ;a cura di;Avvocati, medici, ingegneri. Alle origini delle professioni moderne (secoli XVI-XIX);Bologna;Clueb;1997;;;;;169-206
articolo in volume miscellaneo;Musi, Aurelio;;La professione medica nel Mezzogiorno moderno;Betri, Maria Luisa - Pastore, Alessandro ;a cura di;Avvocati, medici, ingegneri. Alle origini delle professioni moderne (secoli XVI-XIX);Bologna;Clueb;1997;;;;;83-92
articolo in volume miscellaneo;Gentilcore, David;;I protomedicati come organismi professionali in Italia durante la prima età moderna;Betri, Maria Luisa - Pastore, Alessandro ;a cura di;Avvocati, medici, ingegneri. Alle origini delle professioni moderne (secoli XVI-XIX);Bologna;Clueb;1997;;;;;93-104
poligrafia;;;;Betri, Maria Luisa - Pastore, Alessandro ;a cura di;Avvocati, medici, ingegneri. Alle origini delle professioni moderne (secoli XVI-XIX);Bologna;Clueb;1997;;;;;436
monografia;;;;Davi, Maria Rosa;;Bernardino Tomitano filosofo, medico e letterato (1517-1576). Profilo biografico e critico;Trieste;Lint;1995;;;;;187
articolo in volume miscellaneo;Susini, Giancarlo ;;Giovanni de Vergottini;Bonini, Roberto ;a cura di;Bologna e la sua Università nel contributo di Giovanni de Vergottini. Atti del Seminario di studi nel ventennale della scomparsa;Milano;Giuffrè;1995;;;;;141-146
articolo in volume miscellaneo;Pietro, Fiorelli;;Giovanni de Vergottini e l’affrancazione dei servi della gleba;Bonini, Roberto ;a cura di;Bologna e la sua Università nel contributo di Giovanni de Vergottini. Atti del Seminario di studi nel ventennale della scomparsa;Milano;Giuffrè;1995;;;;;53-60
poligrafia;;;;Bonini, Roberto ;a cura di;Bologna e la sua Università nel contributo di Giovanni de Vergottini. Atti del Seminario di studi nel ventennale della scomparsa;Milano;Giuffrè;1995;;;;;163
monografia;;;;Grendler, Paul F. ;;Books and Schools in the Italian Renaissance;Aldershot;Variorum;1995;;;;;273
articolo in rivista;Ubrizsy Savoia, Andrea;;Le piante americane nell’erbario di Ulisse Aldrovandi;;;;;;1993;;«Webbia»;48;;579-598
monografia;;;;Monfasani, John;;Byzantine Scholars in Renaissance Italy. Cardinal Bessarion and Other Emigrés. Selected Essays;Aldershot;Variorum;1995;;;;;351
articolo in volume miscellaneo;Moretti, Mauro;;Carlo Cipolla, Pasquale Villari e l’Istituto di Studi superiori di Firenze ;Varanni, Gian Mario;a cura di;Carlo Cipolla e la storiografia italiana tra Otto e Novecento;Verona;Accademia di Agricoltura Scienze e Lettere;1994;;;;;33-81
poligrafia;;;;;;Carlo Jucci nel centenario della nascita: Palazzo Vecchiarelli, Rieti, 22 novembre - 22 dicembre 1997. Catalogo della mostra 1997;Copiano;Tipolito Olona;1997;;;;;57
poligrafia;;;;Bernardini Mosconi, Paola;a cura di;Carlo Jucci nel centenario della nascita: testimonianze e documenti. Atti del Convegno: Pavia, Università degli Studi, Aula del ’400, 1 ottobre 1997 - Rieti, Monastero di S. Lucia, 22 novembre 1997;Milano;Cisalpino;2000;;;;;197
monografia;;;;Poleni, Giovanni - Riccati, Jacopo;;Carteggio (1715-1742);Firenze;Olschki;1997;;;;;349
monografia;;;;Barbieri, Francesco - Cattelani Degani, Franca;a cura di;Catalogo della corrispondenza di Paolo Ruffini;Pisa;ETS;1997;;;;;604
articolo in volume miscellaneo;Fioravanti, Gianfranco;;Schede dei mss. filosofici;Ascheri, Mario;a cura di;Lo Studio e i testi. Il libro universitario a Siena, secoli XII-XVII. Siena, Biblioteca comunale, 14 settembre - 31 ottobre 1996. Catalogo della mostra;Siena ;Protagon;1996;;;;;59-71
poligrafia;;;;Ferrari, Mirella;a cura di;Catalogo storico della Editrice Vita e Pensiero, 1914-1994 ;Milano;Vita e Pensiero;1994;;;;;822
monografia;;;;Nicolosi Grassi, Giuseppina - Longhitano, Adolfo;;"Catania e la sua Università nei secoli XV-XVII. Il codice ""Studiorum constitutiones ac privilegia"" del Capitolo cattedrale ";Roma;Il Cigno Galileo Galilei;1995;;;;;263
articolo in volume miscellaneo;Giacardi, Livia - Roero, Clara Silvia;;Tullio Viola (1904-1985) e la storia della matematica ;;;Cento anni di matematica. Atti del convegno Mathesis centenario, 1895-1995. Una presenza nella cultura e nell’insegnamento (Roma, 21-23 ottobre 1995) ;Roma;Fratelli Palombi;1996;;;;;156-164
monografia;;;;Pancaldi, Giuliano - Guagnini, Anna;a cura di;Cento anni di radio. Le radici dell’invenzione;Torino;Seat;1995;;;;;559
articolo in volume miscellaneo;Minnucci, Giovanni - Nardi, Paolo - Brogi, Mario;;Università di Siena ;Hermans, Jos. M. M. - Nelissen, Marc;eds.;Charters of Foundation and Early Documents of the Universities of the Coimbra Group ;Groningen;Coimbra Group;1994;;;;;24-25
articolo in rivista;Federico, Martino;;Un dottore di decreti arcivescovo di Messina. La laurea padovana (1281) di Guidotto d'Abbiate;;;;;;1993;;«Rivista internazionale di diritto comune»;4;;97-120
articolo in volume miscellaneo;Aricò, Denise;;"""In doctrinis glorificate Dominum"". Alcuni aspetti della ricezione di Clavio nella produzione scientifica di Mario Bettini";Baldini, Ugo;a cura di;Christoph Clavius e l'attività scientifica dei Gesuiti nell'età di Galileo. Atti del convegno internazionale (Chieti, 28-30 aprile 1993);Roma;Bulzoni;1995;;;;;188-207
poligrafia;;;;Baldini, Ugo;a cura di;Christoph Clavius e l'attività scientifica dei Gesuiti nell'età di Galileo. Atti del convegno internazionale (Chieti, 28-30 aprile 1993);Roma;Bulzoni;1995;;;;;316
articolo in volume miscellaneo;Brizzi, Gian Paolo;;Introduzione;;;Cisus, Repertorio nazionale degli storici dell'Università;Sassari;Chiarella;1994;;;;;5-14
articolo in volume miscellaneo;Mecacci, Enzo ;;Lo Studio e i suoi codici;Ascheri, Mario;a cura di;Lo Studio e i testi. Il libro universitario a Siena, secoli XII-XVII. Siena, Biblioteca comunale, 14 settembre - 31 ottobre 1996. Catalogo della mostra;Siena ;Protagon;1996;;;;;17-38
articolo in volume miscellaneo;Bastianoni, Curzio - Catoni, Giuliano;;Studenti, tipografi e librai a Siena fra repubblica e principato;Ascheri, Mario;a cura di;Lo Studio e i testi. Il libro universitario a Siena, secoli XII-XVII. Siena, Biblioteca comunale, 14 settembre - 31 ottobre 1996. Catalogo della mostra;Siena ;Protagon;1996;;;;;183-190
